,nav
2024-02-15,1.2384419252364733
2024-02-16,1.2496199553621703
2024-02-19,1.2582661440835468
2024-02-20,1.2734469435240976
2024-02-21,1.300231864181965
2024-02-22,1.3021688085666843
2024-02-23,1.3411681120895658
2024-02-26,1.3795555991384771
2024-02-27,1.3643556719638594
2024-02-28,1.3660086165244552
2024-02-29,1.4088346947501107
2024-03-01,1.4472673308949697
2024-03-04,1.4371915737290495
2024-03-05,1.446907010261517
2024-03-06,1.4324604149681972
2024-03-07,1.4095809486600213
2024-03-08,1.3867390135749866
2024-03-11,1.3624159868583263
2024-03-12,1.3636557371141156
2024-03-13,1.3768335750605327
2024-03-14,1.395676906866614
2024-03-15,1.4503493268922563
2024-03-18,1.4298177570917885
2024-03-19,1.4633974078667111
2024-03-20,1.4548366079891177
2024-03-21,1.4604152246162836
2024-03-22,1.474477172977158
2024-03-25,1.4520554122005869
2024-03-26,1.4715882641783953
2024-03-27,1.4628239298768693
2024-03-28,1.5097792629525886
2024-03-29,1.500295658533553
2024-04-01,1.5371322628803523
2024-04-02,1.5418887995302575
2024-04-03,1.5438316068435212
2024-04-04,1.5411464432660822
2024-04-05,1.5405723821478179
2024-04-08,1.5271620966081916
2024-04-09,1.539303793822101
2024-04-10,1.5752267913953384
2024-04-11,1.550814726537374
2024-04-12,1.5490157637666795
2024-04-15,1.5588704991919664
2024-04-16,1.5326387133805557
2024-04-17,1.5432614186183287
2024-04-18,1.5566247935552215
2024-04-19,1.5117441658466098
2024-04-22,1.5343135332110656
2024-04-23,1.583082456302613
2024-04-24,1.5729941919523474
2024-04-25,1.556015696269125
2024-04-26,1.5565158353963908
2024-04-29,1.5702066638117904
2024-04-30,1.5638176300663023
2024-05-01,1.594246028798909
2024-05-02,1.5792656600807835
2024-05-03,1.555246548779606
2024-05-06,1.5244423529439393
2024-05-07,1.530480505210933
2024-05-08,1.545050268438474
2024-05-09,1.588612878565851
2024-05-10,1.5759842552456416
2024-05-13,1.5666060509178992
2024-05-14,1.567288339555208
2024-05-15,1.5952974328767267
2024-05-16,1.67134021312689
2024-05-17,1.6434481923871895
2024-05-20,1.638904178492769
2024-05-21,1.6954839759561429
2024-05-22,1.7156186209833977
2024-05-23,1.7806043079444207
2024-05-24,1.8129789654646857
2024-05-27,1.7957077509524328
2024-05-28,1.820638356654492
2024-05-29,1.8598772840982962
2024-05-30,1.8919830439289742
2024-05-31,1.8986750364267155
2024-06-03,1.9400003474528784
2024-06-04,1.994816860914991
2024-06-05,2.0764697017546387
2024-06-06,2.1223428372911086
2024-06-07,2.1559475828173174
2024-06-10,2.149633988934779
2024-06-11,2.219303952656123
2024-06-12,2.1883214188081284
2024-06-13,2.247855605972394
2024-06-14,2.2165234219602423
2024-06-17,2.203318083280393
2024-06-18,2.249272373503051
2024-06-19,2.2195142790816913
2024-06-20,2.214004878236109
2024-06-21,2.1398633608572446
2024-06-24,2.1770607259006534
2024-06-25,2.2140759230901907
2024-06-26,2.3492492016053856
2024-06-27,2.353884445523108
2024-06-28,2.3556745088287836
2024-07-01,2.353089365371753
2024-07-02,2.442942323025929
2024-07-03,2.4152796893130453
2024-07-04,2.465560478783764
2024-07-05,2.52237845248915
2024-07-08,2.525586103494143
2024-07-09,2.4703589840067273
2024-07-10,2.5082179062983356
2024-07-11,2.5664534568524187
2024-07-12,2.5345850902687883
2024-07-15,2.512719294210592
2024-07-16,2.465257457855421
2024-07-17,2.531264969745735
2024-07-18,2.449647891377712
2024-07-19,2.4138446878361624
2024-07-22,2.4471349228146986
2024-07-23,2.5110996773499563
2024-07-24,2.507007681169178
2024-07-25,2.480749355180195
2024-07-26,2.594525741475151
2024-07-29,2.5264281341846146
2024-07-30,2.386280660074304
2024-07-31,2.3820132518248016
2024-08-01,2.3813928296288074
2024-08-02,2.337866612225027
2024-08-05,2.360549592171148
2024-08-06,2.403591264581743
2024-08-07,2.379326701396553
2024-08-08,2.340374364600092
2024-08-09,2.385241912111611
2024-08-12,2.4598048789724727
2024-08-13,2.4930283966126345
2024-08-14,2.582356785511512
2024-08-15,2.548156235579593
2024-08-16,2.486000277703427
2024-08-19,2.4845293756382403
2024-08-20,2.46283073987337
2024-08-21,2.491755462169473
2024-08-22,2.5061718018038657
2024-08-23,2.4847937785671625
2024-08-26,2.4004715404009476
2024-08-27,2.425017233109639
2024-08-28,2.417579231313608
2024-08-29,2.488634851972518
2024-08-30,2.5396663644945168
2024-09-02,2.5667953266474717
2024-09-03,2.6339788119951364
2024-09-04,2.6289893372512596
2024-09-05,2.628619693469628
2024-09-06,2.7028750642631776
2024-09-09,2.724689315844898
2024-09-10,2.7675460171704604
2024-09-11,2.7205334733288504
2024-09-12,2.8066364386096456
2024-09-13,2.7401701112296366
2024-09-16,2.8657996914585553
2024-09-17,2.873103003288805
2024-09-18,2.7636210648248576
2024-09-19,2.7636393128224865
2024-09-20,2.7028021844542183
2024-09-23,2.7548594152379726
2024-09-24,2.735101063493619
2024-09-25,2.6907099268015426
2024-09-26,2.5892616897805425
2024-09-27,2.5556793869721606
2024-09-30,2.4104725706666206
2024-10-01,2.3450785430169003
2024-10-02,2.3504895507034442
2024-10-03,2.3701759642392397
2024-10-04,2.3603404809184534
2024-10-07,2.369427969242748
2024-10-08,2.3705566518790397
2024-10-09,2.3550906004909975
2024-10-10,2.3159820826050526
2024-10-11,2.373318887455315
2024-10-14,2.4056697093223938
2024-10-15,2.4137589099698413
2024-10-16,2.43602674146731
2024-10-17,2.4334579508562206
2024-10-18,2.3353479957804235
2024-10-21,2.3209785907054554
2024-10-22,2.2395937235273844
2024-10-23,2.1678367440925927
2024-10-24,2.1909576445565526
2024-10-25,2.296996845312103
2024-10-28,2.317718924132855
2024-10-29,2.3113397999133762
2024-10-30,2.3432793112054595
2024-10-31,2.477115249065119
2024-11-01,2.54724725920797
2024-11-04,2.548677502069933
2024-11-05,2.497462633005331
2024-11-06,2.486576198344695
2024-11-07,2.5110114077091836
2024-11-08,2.532937368417094
2024-11-11,2.527762303268754
2024-11-12,2.562517598406943
2024-11-13,2.5127995651482915
2024-11-14,2.617360037135669
2024-11-15,2.651261963567074
2024-11-18,2.756413872170675
2024-11-19,2.7595156200867095
2024-11-20,2.8543091423484124
2024-11-21,2.8453572485988796
2024-11-22,2.8507124963422714
2024-11-25,2.841196924734831
2024-11-26,2.7988557158459333
2024-11-27,2.8188595553333955
2024-11-28,2.8266317882349092
2024-11-29,2.7621429219114293
2024-12-02,2.7865014283463503
2024-12-03,2.9529528514947523
2024-12-04,3.0184514340777104
2024-12-05,3.0624648307534703
2024-12-06,3.0505695872807714
2024-12-09,3.0482198524282524
2024-12-10,3.074326430189287
2024-12-11,2.9894990263792365
2024-12-12,2.977415694320327
2024-12-13,2.856765064042767
2024-12-16,2.8890865693356607
2024-12-17,2.9284723893220215
2024-12-18,2.896105966295694
2024-12-19,2.9695233503740384
2024-12-20,2.881586846360518
2024-12-23,2.81455884271937
2024-12-24,2.8420222333003085
2024-12-25,2.8805659389909635
2024-12-26,2.985714145496981
2024-12-27,2.9776267649009083
2024-12-30,3.0061790295858013
2024-12-31,3.0214750727824122
